,,12 months to Q2 2011,,,,,12 months to Q3 2011,,,,,12 months to Q4 2011 ,,,,,12 months to Q1 2012,,,,,12 months to Q2 2012,,,,,12 months to Q3 2012,,,,,12 months to Q4 2012,,,,,12 months to Q1 2013,,,,,12 months to Q3 2013,,,,,12 months to Q1 2014,,,,,12 months to Q3 2014,,,,,12 months to Q1 2015,,,,,12 months to Q3 2015,,,,,12 months to Q1 2016,,,,,12 months to Q3 2016,,,,,12 months to Q1 2017,,,,,12 months to Q3 2017,,,,,12 months to Q1 2018,,,,,12 months to Q3 2018,,,,,12 months to Q1 2019,,,,
E09000010,Enfield,"1,728",943,625,933,"1,192","1,664",958,650,949,"1,200","1,589",984,693,975,"1,200","1,488","1,046",778,"1,000","1,250","1,220","1,022",750,997,"1,200","1,093","1,051",750,"1,000","1,248","1,329","1,081",780,"1,000","1,250",944,"1,116",800,"1,050","1,300","1,127","1,125",850,"1,100","1,300","1,200","1,120",850,"1,100","1,300","1,355","1,150",867,"1,100","1,350","1,358","1,197",900,"1,175","1,365","1,427","1,270",950,"1,248","1,426","1,810","1,260",950,"1,250","1,450","1,950","1,330","1,000","1,250","1,500","1,770","1,389","1,000","1,300","1,500","1,590","1,339","1,050","1,275","1,500","1,170","1,324","1,050","1,250","1,500",500,"1,357","1,075","1,300","1,475",870,"1,325","1,050","1,275","1,500"
E09000011,Greenwich,"1,578",931,650,850,"1,150","1,399",959,675,850,"1,150","1,286",948,700,875,"1,200","1,209","1,004",725,875,"1,200","1,073","1,021",700,897,"1,200","1,092","1,055",700,948,"1,250","1,136","1,114",750,"1,000","1,300","1,011","1,093",750,"1,000","1,300","1,131","1,147",850,"1,100","1,343","1,049","1,192",875,"1,125","1,350","1,141","1,235",900,"1,200","1,495","1,282","1,252",900,"1,200","1,500","1,090","1,257",950,"1,200","1,495","1,380","1,342","1,000","1,275","1,550","1,540","1,379","1,050","1,300","1,600","1,250","1,384","1,062","1,300","1,600",870,"1,375","1,100","1,325","1,600",730,"1,434","1,150","1,350","1,650",880,"1,392","1,100","1,300","1,595","1,230","1,380","1,100","1,325","1,600"
E09000012,Hackney,"2,314","1,201",823,"1,148","1,517","2,309","1,223",845,"1,192","1,517","1,936","1,231",845,"1,192","1,517","1,767","1,249",845,"1,213","1,560","1,600","1,296",863,"1,300","1,625","1,357","1,342",900,"1,300","1,668","1,657","1,360",950,"1,300","1,690","1,592","1,380",997,"1,343","1,712","1,682","1,411","1,083","1,387","1,733","1,386","1,490","1,170","1,430","1,733","1,457","1,545","1,192","1,473","1,842","1,429","1,641","1,257","1,517","1,950","1,336","1,759","1,300","1,625","2,058","1,670","1,773","1,365","1,668","2,080","1,970","1,795","1,348","1,690","2,145","1,680","1,804","1,350","1,668","2,145","1,370","1,752","1,350","1,603","1,993","1,530","1,795","1,365","1,625","2,058","1,570","1,856","1,430","1,733","2,123","1,370","1,834","1,430","1,712","2,123"
E09000013,Hammersmith and Fulham,"1,452","1,454",870,"1,278","1,712","1,715","1,641","1,049","1,430","1,907","1,491","1,732","1,161","1,517","1,950","1,760","1,677","1,083","1,473","1,950","1,813","1,797","1,130","1,517","2,037","1,756","1,825","1,148","1,517","2,101","2,048","1,835","1,213","1,560","2,123","2,175","1,842","1,235","1,538","2,145","1,922","1,724","1,213","1,517","1,950","1,422","1,776","1,250","1,560","1,993","1,731","1,892","1,278","1,582","2,058","1,722","1,922","1,300","1,582","2,080","1,290","1,835","1,291","1,517","2,058","1,140","1,886","1,300","1,582","2,162","1,760","2,003","1,342","1,668","2,297","2,430","2,161","1,430","1,755","2,492","2,200","1,980","1,343","1,625","2,200","1,440","1,741","1,257","1,500","1,950","2,120","2,005","1,352","1,647","2,250","2,180","2,070","1,400","1,690","2,275"
E09000014,Haringey,"2,147","1,044",520,901,"1,300","2,196","1,058",563,962,"1,300","2,185","1,084",600,997,"1,300","1,923","1,117",693,"1,040","1,343","1,742","1,146",700,"1,083","1,387","1,501","1,147",650,"1,050","1,408","1,496","1,181",725,"1,100","1,473","1,189","1,280",800,"1,192","1,517","1,363","1,288",802,"1,200","1,517","1,371","1,332",975,"1,250","1,517","1,705","1,385","1,000","1,278","1,550","1,938","1,372",997,"1,300","1,599","2,144","1,473","1,083","1,350","1,700","2,310","1,523","1,127","1,400","1,712","2,450","1,489","1,148","1,400","1,675","2,220","1,518","1,150","1,400","1,685","1,850","1,507","1,150","1,400","1,668","1,290","1,496","1,192","1,400","1,690","1,050","1,520","1,220","1,425","1,733","1,550","1,513","1,203","1,425","1,712"
E09000015,Harrow,"1,546","1,077",810,"1,000","1,250","1,186","1,095",845,"1,027","1,300","1,489","1,114",850,"1,050","1,300","1,215","1,101",850,"1,050","1,300","1,227","1,082",850,"1,050","1,300","1,179","1,119",850,"1,050","1,300",829,"1,088",850,"1,050","1,300",949,"1,134",875,"1,095","1,350",864,"1,169",900,"1,148","1,400",688,"1,153",900,"1,150","1,385",890,"1,203",950,"1,200","1,400","1,597","1,272","1,000","1,250","1,499","2,023","1,326","1,050","1,275","1,535","2,190","1,370","1,100","1,300","1,550","1,860","1,406","1,150","1,350","1,600","1,590","1,417","1,150","1,350","1,650","1,670","1,390","1,150","1,350","1,600","1,760","1,361","1,100","1,300","1,600","1,900","1,359","1,100","1,300","1,600","2,080","1,396","1,150","1,350","1,600"
E09000016,Havering,976,849,675,800,950,997,864,700,835,975,942,864,695,825,975,904,863,700,825,995,831,863,700,825,975,776,885,723,850,"1,000",750,884,725,850,"1,000",884,887,725,850,"1,000",813,913,737,875,"1,050",551,919,723,862,"1,050",642,913,731,867,"1,100",733,958,775,925,"1,125",566,"1,004",800,950,"1,200",710,"1,027",825,"1,000","1,200",900,"1,028",850,"1,000","1,200",760,"1,061",893,"1,050","1,237",720,"1,103",910,"1,100","1,250",710,"1,135",925,"1,100","1,300",780,"1,135",900,"1,100","1,300",890,"1,131",925,"1,100","1,300"
E09000017,Hillingdon,"2,735",981,750,900,"1,150","2,210",982,750,925,"1,150","2,196","1,002",750,950,"1,200","2,546",949,725,900,"1,150","2,094",925,680,900,"1,150","2,542",930,650,900,"1,200","2,327",917,630,900,"1,150","2,284",940,600,900,"1,200","1,687",973,670,945,"1,200",874,"1,016",650,950,"1,250","1,411","1,117",800,"1,100","1,350","1,713","1,157",850,"1,138","1,350","1,316","1,226",935,"1,175","1,400","1,390","1,194",900,"1,150","1,400","1,310","1,159",825,"1,150","1,400","1,590","1,198",900,"1,170","1,400","1,690","1,239",950,"1,200","1,400","1,560","1,281",995,"1,200","1,475","1,350","1,245",970,"1,200","1,400","1,690","1,268","1,000","1,200","1,450"
E09000018,Hounslow,"2,668","1,112",750,975,"1,250","2,360","1,126",793,975,"1,250","2,173","1,152",800,"1,000","1,295","1,952","1,198",850,"1,100","1,350","2,170","1,151",850,"1,075","1,300","2,068","1,166",850,"1,100","1,300","1,838","1,229",875,"1,100","1,395","1,975","1,245",880,"1,127","1,400","1,479","1,361",950,"1,225","1,500",859,"1,395",950,"1,248","1,582",936,"1,381",975,"1,200","1,517","1,384","1,387","1,000","1,250","1,517","1,750","1,559","1,100","1,350","1,733","1,870","1,659","1,200","1,450","1,875","1,980","1,572","1,200","1,400","1,750","2,060","1,496","1,125","1,350","1,650","1,530","1,401","1,090","1,300","1,600","1,950","1,309","1,025","1,250","1,500","2,100","1,296","1,025","1,250","1,475","1,750","1,410","1,095","1,300","1,600"
E09000019,Islington,"3,250","1,418",953,"1,343","1,777","2,947","1,443","1,018","1,387","1,820","2,515","1,448","1,030","1,387","1,820","2,429","1,548","1,105","1,473","1,907","2,232","1,553","1,127","1,473","1,907","2,292","1,536","1,127","1,452","1,853","2,350","1,550","1,127","1,473","1,863","2,060","1,630","1,278","1,545","1,950","2,169","1,642","1,300","1,560","1,950","2,086","1,654","1,300","1,560","1,907","2,109","1,774","1,343","1,647","2,037","2,476","1,900","1,387","1,731","2,242","2,854","1,943","1,408","1,733","2,297","2,940","1,941","1,452","1,733","2,275","3,050","1,878","1,425","1,733","2,167","2,740","1,886","1,430","1,733","2,210","2,780","1,865","1,430","1,712","2,167","2,480","1,860","1,413","1,700","2,167","2,580","1,904","1,473","1,750","2,249","2,560","1,895","1,455","1,733","2,232"
E09000020,Kensington and Chelsea,"2,902","2,661","1,473","2,058","2,817","1,933","2,981","1,517","2,167","3,142","1,213","2,888","1,517","2,145","3,012","1,214","2,699","1,473","2,058","2,925","1,077","2,762","1,473","2,080","3,185","1,013","2,636","1,430","2,058","3,142","1,137","2,711","1,582","2,167","3,250","1,138","2,854","1,733","2,275","3,142","1,393","2,621","1,733","2,297","3,012","1,223","2,767","1,712","2,351","3,098","1,481","3,030","1,625","2,253","3,228","1,450","3,130","1,729","2,275","3,250","1,502","3,174","1,798","2,383","3,445","2,070","3,215","1,863","2,492","3,488","2,490","3,096","1,900","2,492","3,445","3,010","3,544","1,950","2,611","3,857","1,880","3,881","1,993","2,795","4,333",760,"2,882","1,675","2,253","3,142","1,360","3,173","1,733","2,383","3,467","2,170","3,208","1,777","2,427","3,489"
E09000021,Kingston upon Thames,"2,041",875,390,850,"1,158","2,020",945,412,897,"1,200","1,622",909,412,850,"1,195","1,050",955,412,850,"1,200","2,055",893,390,483,"1,248","1,893",774,379,412,"1,100","1,489",846,380,425,"1,200","1,989",964,390,850,"1,300",710,"1,377",950,"1,200","1,500",497,"1,378",950,"1,192","1,400","1,571","1,337","1,000","1,250","1,500","1,849","1,333",980,"1,250","1,500","1,158","1,473","1,075","1,350","1,675","2,020","1,453","1,075","1,300","1,650","2,030","1,425","1,075","1,295","1,600","1,000","1,417","1,079","1,300","1,650","1,280","1,407","1,100","1,300","1,600","1,110","1,406","1,100","1,300","1,600",560,"1,355","1,035","1,258","1,567",590,"1,396","1,075","1,300","1,595"
E09000022,Lambeth,"3,137","1,214",825,"1,148","1,499","2,844","1,251",890,"1,192","1,500","2,729","1,263",900,"1,200","1,500","2,639","1,297",900,"1,213","1,538","2,671","1,324",950,"1,235","1,560","2,582","1,349",950,"1,250","1,603","2,544","1,410","1,000","1,300","1,650","2,399","1,433","1,040","1,322","1,668","2,420","1,452","1,049","1,343","1,690","2,493","1,476","1,100","1,387","1,695","2,485","1,519","1,150","1,408","1,750","2,637","1,556","1,150","1,430","1,798","2,465","1,614","1,213","1,473","1,825","2,490","1,690","1,300","1,560","1,907","2,740","1,680","1,300","1,560","1,907","2,550","1,670","1,300","1,550","1,900","1,920","1,661","1,300","1,550","1,900","2,220","1,647","1,300","1,517","1,842","2,380","1,670","1,300","1,550","1,850","1,920","1,751","1,300","1,600","1,950"
E09000023,Lewisham,"2,332",884,650,849,"1,050","2,288",901,650,850,"1,100","2,338",916,650,850,"1,100","2,446",937,675,875,"1,125","2,534",967,720,900,"1,150","2,401",971,725,925,"1,150","2,361",985,736,950,"1,192","2,065",995,750,950,"1,180","1,804","1,020",750,950,"1,200","1,629","1,027",800,"1,000","1,235","2,188","1,065",800,"1,000","1,257","2,228","1,130",850,"1,100","1,300","1,323","1,183",900,"1,150","1,365","1,860","1,242",995,"1,200","1,450","2,260","1,271","1,000","1,250","1,475","1,820","1,307","1,075","1,257","1,500","1,360","1,314","1,100","1,275","1,500","1,680","1,306","1,078","1,300","1,500","1,980","1,280","1,050","1,275","1,480","1,940","1,318","1,050","1,275","1,500"
E09000024,Merton,"1,965","1,109",800,"1,000","1,300","2,096","1,098",800,"1,000","1,300","2,187","1,166",850,"1,100","1,350","1,946","1,255",900,"1,150","1,400","1,838","1,248",900,"1,138","1,400","1,668","1,295",900,"1,150","1,450","1,155","1,308",900,"1,150","1,450",977,"1,388",995,"1,250","1,550",756,"1,478","1,000","1,250","1,650",741,"1,622","1,080","1,321","1,800","1,067","1,487","1,100","1,300","1,650","1,233","1,519","1,100","1,325","1,650","1,345","1,643","1,150","1,400","1,798","1,280","1,625","1,150","1,400","1,795","1,390","1,678","1,248","1,450","1,850","1,540","1,608","1,200","1,400","1,795","1,310","1,551","1,200","1,400","1,750","1,500","1,584","1,200","1,400","1,750","1,370","1,576","1,200","1,400","1,750","1,460","1,542","1,200","1,400","1,750"
E09000025,Newham,"1,373",876,675,871,"1,100","1,312",902,725,900,"1,126","1,242",906,725,900,"1,127","1,048",914,725,899,"1,150","1,096",917,724,900,"1,127","1,011",915,700,900,"1,150",985,972,750,950,"1,200","1,212","1,049",800,"1,000","1,250","1,069","1,086",845,"1,096","1,300","1,079","1,034",797,"1,000","1,298","1,073","1,084",802,"1,049","1,300",910,"1,168",881,"1,160","1,400","1,122","1,235",910,"1,215","1,450","1,600","1,314","1,000","1,300","1,575","1,760","1,328","1,050","1,325","1,595","1,640","1,391","1,185","1,375","1,620","1,640","1,401","1,200","1,365","1,620","1,590","1,374","1,150","1,350","1,595","1,650","1,413","1,200","1,400","1,600","1,890","1,422","1,200","1,400","1,650"
E09000026,Redbridge,"1,941",899,675,850,"1,100","1,863",928,700,897,"1,127","1,753",915,700,875,"1,125","1,685",926,698,875,"1,150","1,648",936,700,900,"1,150","1,462",956,725,900,"1,150","1,512",957,722,900,"1,200","1,456",960,725,900,"1,196","1,447",986,750,932,"1,200","1,518","1,017",750,925,"1,200","1,277","1,003",750,925,"1,200","1,233","1,090",830,"1,050","1,300","1,401","1,140",850,"1,100","1,350","1,470","1,199",900,"1,150","1,400","1,590","1,241",950,"1,200","1,450","1,520","1,253","1,000","1,200","1,450","1,630","1,260","1,000","1,200","1,450","1,380","1,270","1,000","1,200","1,475","1,330","1,267","1,000","1,203","1,450","1,610","1,303","1,050","1,250","1,500"
E09000027,Richmond upon Thames,"2,386","1,185",672,"1,050","1,400","2,710","1,286",775,"1,150","1,500","2,473","1,301",795,"1,150","1,500","2,565","1,315",825,"1,150","1,525","2,198","1,520",975,"1,275","1,733","1,700","1,470",950,"1,250","1,695","1,741","1,521",925,"1,275","1,795","1,648","1,677","1,080","1,400","1,950","2,008","1,740","1,100","1,450","2,000","2,316","1,860","1,200","1,500","2,075","2,359","1,917","1,250","1,500","2,100","2,038","2,021","1,295","1,556","2,253","2,418","2,077","1,300","1,600","2,350","2,690","2,036","1,300","1,595","2,250","2,370","1,995","1,300","1,595","2,250","2,310","1,830","1,257","1,500","2,000","1,830","1,671","1,200","1,430","1,800","1,880","1,891","1,295","1,525","2,000","1,250","2,000","1,350","1,600","2,250","1,890","1,896","1,300","1,600","2,000"
E09000028,Southwark,"3,038","1,248",850,"1,170","1,560","3,139","1,282",880,"1,200","1,612","2,851","1,287",895,"1,200","1,625","2,910","1,292",875,"1,192","1,603","2,911","1,332",900,"1,213","1,647","2,911","1,360",916,"1,250","1,690","2,829","1,352",916,"1,250","1,668","2,593","1,447","1,000","1,343","1,756","2,297","1,455","1,018","1,350","1,750","2,238","1,502","1,100","1,408","1,798","2,480","1,496","1,148","1,408","1,777","2,309","1,540","1,200","1,430","1,800","1,997","1,662","1,257","1,525","1,950","2,700","1,600","1,200","1,473","1,850","3,190","1,601","1,200","1,473","1,860","3,120","1,653","1,275","1,500","1,900","2,550","1,629","1,257","1,495","1,880","2,710","1,623","1,289","1,500","1,846","2,650","1,705","1,349","1,560","1,950","2,720","1,676","1,300","1,525","1,907"
E09000029,Sutton,"1,055",846,659,790,925,"1,371",837,675,775,925,"1,000",855,675,800,950,971,876,675,825,975,608,930,710,850,"1,050",553,939,725,880,"1,050",530,933,720,900,"1,100",586,938,710,900,"1,100",601,979,750,925,"1,150",610,972,775,900,"1,100",872,"1,003",775,950,"1,195",948,"1,044",800,997,"1,200",637,"1,104",850,"1,050","1,250",810,"1,119",875,"1,075","1,250","1,290","1,158",900,"1,100","1,300","1,150","1,159",900,"1,100","1,300","1,020","1,139",925,"1,100","1,250","1,090","1,137",925,"1,100","1,250",810,"1,114",925,"1,075","1,225","1,040","1,130",925,"1,100","1,250"
E09000030,Tower Hamlets,"3,324","1,304","1,018","1,278","1,560","2,787","1,336","1,018","1,300","1,603","2,559","1,343","1,040","1,300","1,625","1,797","1,369","1,018","1,300","1,625","1,380","1,329",975,"1,300","1,603","1,628","1,366",975,"1,322","1,668","1,886","1,445","1,083","1,400","1,733","2,754","1,578","1,235","1,517","1,804","3,160","1,592","1,257","1,517","1,820","2,692","1,455","1,127","1,400","1,690","2,314","1,482","1,148","1,408","1,733","2,308","1,603","1,213","1,500","1,867","2,316","1,660","1,257","1,517","1,950","2,430","1,733","1,375","1,625","1,993","2,810","1,751","1,387","1,647","1,998","2,750","1,801","1,430","1,675","2,014","2,510","1,768","1,408","1,647","1,978","2,490","1,739","1,387","1,610","1,993","2,780","1,762","1,400","1,647","1,993","2,790","1,773","1,408","1,647","1,993"
E09000031,Waltham Forest,"1,571",910,715,875,"1,100","1,605",939,750,900,"1,127","1,656",932,750,900,"1,100","1,548",925,750,900,"1,100","1,366",927,750,900,"1,100","1,524",932,750,900,"1,100","1,339",944,750,900,"1,100","1,378",968,780,931,"1,150","1,461","1,016",800,975,"1,200","1,540","1,026",800,"1,000","1,200","1,094","1,036",800,"1,000","1,230","1,023","1,149",901,"1,101","1,300","1,241","1,198",950,"1,150","1,350","1,470","1,230","1,000","1,200","1,400","1,550","1,271","1,000","1,225","1,450","1,450","1,312","1,050","1,250","1,500","1,410","1,304","1,100","1,250","1,450","1,350","1,300","1,050","1,250","1,460","1,530","1,303","1,050","1,275","1,475","1,580","1,314","1,075","1,295","1,500"
E09000032,Wandsworth,"3,964","1,345",950,"1,278","1,603","3,902","1,346",950,"1,257","1,603","3,475","1,333",950,"1,275","1,603","3,605","1,421","1,001","1,300","1,668","3,639","1,437","1,050","1,325","1,690","3,709","1,525","1,100","1,387","1,750","3,836","1,649","1,200","1,473","1,847","3,717","1,691","1,235","1,500","1,863","4,227","1,682","1,250","1,500","1,863","4,444","1,659","1,249","1,499","1,870","4,173","1,670","1,252","1,515","1,898","4,010","1,768","1,350","1,582","1,993","3,227","1,863","1,400","1,647","2,100","3,060","1,889","1,400","1,650","2,145","3,320","1,819","1,400","1,647","2,080","3,290","1,853","1,408","1,650","2,115","2,750","1,887","1,400","1,668","2,167","3,060","1,873","1,400","1,650","2,123","3,970","1,855","1,400","1,650","2,100","3,980","1,828","1,400","1,650","2,080"
E09000033,Westminster,"3,570","2,359","1,430","1,907","2,643","3,135","2,425","1,473","1,950","2,708","2,804","2,411","1,473","1,931","2,676","3,299","2,399","1,430","1,950","2,708","2,688","2,482","1,408","1,950","2,817","2,618","2,428","1,430","1,950","2,817","2,759","2,362","1,452","1,907","2,708","3,007","2,382","1,517","1,950","2,643","3,167","2,272","1,517","1,950","2,600","1,811","2,328","1,500","1,950","2,640","2,665","2,651","1,582","2,145","2,882","2,999","2,990","1,733","2,383","3,250","2,754","3,106","1,733","2,318","3,426","4,020","2,956","1,820","2,383","3,250","4,430","2,822","1,777","2,318","3,142","4,130","2,784","1,733","2,275","3,033","2,830","2,853","1,733","2,265","3,033","2,710","2,784","1,733","2,265","3,033","3,100","2,709","1,755","2,275","3,023","3,190","2,832","1,733","2,275","3,133"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
